achartengine-1.2.0,org/achartengine
com.wdullaer.materialdatetimepicker.1.2.1,com/wdullaer/materialdatetimepicker
com.wdullaer.materialdatetimepicker.1.5.1,com/wdullaer/materialdatetimepicker
com.yalantis.ucrop.1.5.0,com/yalantis/ucrop
commons-beanutils-1.8.3,org/apache/commons
commons-cli-1.2,org/apache/commons/cli
commons-codec-1.5,org/apache/commons/codec
commons-codec-1.6,org/apache/commons/codec
commons-codec-1.8,org/apache/commons/codec
commons-compress-1.10,org/apache/commons/compress
commons-digester-1.8,org/apache/commons/digester
commons-io-1.3.2,org/apache/commons/io
commons-io-2.0.1,org/apache/commons/io
commons-io-2.4,org/apache/commons/io
commons-lang3-3.3.2,org/apache/commons/lang3
commons-lang3-3.4,org/apache/commons/lang3
commons-net-3.3,org/apache/commons/net
commons-validator-1.4.0,org/apache/commons/validator
converter-jackson-2.0.0-beta2,converter/jackson
core-1.54.0.0,org/spongycastle/core
core-3.2.0,com/google/zxing-core
core-3.2.1,com/google/zxing-core
cupboard-2.1.1,nl/qbusict/cupboard
dagger-1.2.2,dagger
dagger-compiler-1.2.2,dagger/internal/codegen
dashclock-api-2.0.0,com/google/android/apps/dashclock/api
de.cketti.share.share-intent-builder.0.0.2,de/cketti/shareintentbuilder
de.hdodenhof.circleimageview.2.0.0,de/hdodenhof/circleimageview
de.psdev.licensesdialog.licensesdialog.1.7.0,de/psdev/licensesdialog
de.psdev.licensesdialog.licensesdialog.1.8.0,de/psdev/licensesdialog
disklrucache-2.0.2,com/jakewharton/disklrucache
drawablepagertabstrip,org/dmfs/android/view
epublib-core-3.1,nl/siegmann/epublib
eu.chainfire.libsuperuser.1.0.0.201608240809,eu/chainfire/libsuperuser
eu.chainfire.libsuperuser.1.0.0.201702212052,eu/chainfire/libsuperuser
eventbus-2.4.0,org/greenrobot/eventbus
eventbus-3.0.0,org/greenrobot/eventbus
ez-vcard-0.9.6,ezvcard
fastjson-1.2.11,com/alibaba/fastjson
freemarker-2.3.20,freemarker
glide-3.5.2,com/bumptech/glide
glide-3.7.0,com/bumptech/glide
greendao-1.3.7,de/greenrobot/dao
greendao-2.0.0,de/greenrobot/dao
gson-1.7.2,com/google/gson
gson-2.2.4,com/google/gson
gson-2.3,com/google/gson
gson-2.3.1,com/google/gson
gson-2.4,com/google/gson
gson-2.5,com/google/gson
gson-2.8.0,com/google/gson
guava-15.0,com/google/guava
guava-18.0,com/google/guava
halfnarp-client-2.0.0,info/metadude/java/library/halfnarp
hamcrest-core-1.3,org/hamcrest
httpclient-4.3.6,cz/msebera/android/httpclient
httpcore-4.2.1,org/apache/http
httpcore-4.3.2,org/apache/http
httpcore-4.4.3,org/apache/http
httpmime-4.2.1,org/apache/http/entity/mime
http-request-5.6,com/github/kevinsawicki/http
ini4j-0.5.4,org/ini4j
internal_impl-20.0.0,internal.impl
internal_impl-21.0.0,internal.impl
internal_impl-21.0.2,internal.impl
internal_impl-21.0.3,internal.impl
internal_impl-22.0.0,internal.impl
internal_impl-22.1.1,internal.impl
internal_impl-22.2.0,internal.impl
internal_impl-22.2.1,internal.impl
internal_impl-23.0.0,internal.impl
internal_impl-23.0.1,internal.impl
internal_impl-23.1.0,internal.impl
internal_impl-23.1.1,internal.impl
internal_impl-23.2.0,internal.impl
internal_impl-23.2.1,internal.impl
internal_impl-23.3.0,internal.impl
internal_impl-23.4.0,internal.impl
internal_impl-24.0.0,internal.impl
internal_impl-24.0.0-beta1,internal.impl
jackson-annotations-2.4.0,com/fasterxml/jackson/annotation
jackson-annotations-2.5.0,com/fasterxml/jackson/annotation
jackson-annotations-2.6.0,com/fasterxml/jackson/annotation
jackson-core-2.3.3,com/fasterxml/jackson/core
jackson-core-2.4.2,com/fasterxml/jackson/core
jackson-core-2.5.1,com/fasterxml/jackson/core
jackson-core-2.6.1,com/fasterxml/jackson/core
jackson-core-2.6.3,com/fasterxml/jackson/core
jackson-core-2.7.3,com/fasterxml/jackson/core
jackson-databind-2.4.2,com/fasterxml/jackson/databind
jackson-databind-2.5.1,com/fasterxml/jackson/databind
jackson-databind-2.6.1,com/fasterxml/jackson/databind
jackson-databind-2.6.3,com/fasterxml/jackson/databind
java-semver-0.9.0,com/github/zafarkhaja/semver
javassist-3.18.1-GA,javassist
javawriter-2.5.0,com/squareup/javawriter
javax.inject-1,javax/inject
jeromq-0.3.5,org/zeromq
jmdns-3.4.1,javax/jmdns
joda-time-2.6,org/joda/time
joda-time-2.9.1,org/joda/time
joda-time-2.9.3,org/joda/time
jp.wasabeef.glide-transformations.2.0.1,jp/wasabeef/glide/transformations
jp.wasabeef.richeditor-android.1.2.0,jp/wasabeef/richeditor
jsch-0.1.51,com/jcraft/jsch
json-simple-1.1.1,org/json/simple
jsoup-1.7.3,org/jsoup
jsoup-1.8.1,org/jsoup
jsoup-1.8.2,org/jsoup
jsoup-1.8.3,org/jsoup
jsoup-1.9.1,org/jsoup
jsoup-1.9.2,org/jsoup
jsr250-api-1.0,javax/annotation
jsr305-2.0.1,javax/annotation
jsr305-3.0.0,javax/annotation
junidecode-v0.2,gcardone/junidecode
junit-4.12,org/junit
juniversalchardet-1.0.3,org/mozilla/universalchardet
kolabnotes-java-3.3.4,org/kore/kolab/notes
kore-javamail-1.0.2,com/sun
library-1.0.19,com/android/volley
library-1.2.2,uk/co/senab/photoview
library-2.4.0,com/nineoldandroids
lib-recur-0.9.3,org/dmfs/rfc5545/lib-recur
logback-android-classic-1.1.1-3,ch/qos/logback/classic
logback-android-core-1.1.1-3,ch/qos/logback/core
lombok-1.16.2,lombok
lost-1.0.1,com/mapzen/android/lost
markdownj-core-0.4,com/petebevin/markdown
me.drakeet.mailotto.mailotto.1.0.2,me/drakeet/mailotto
me.relex.circleindicator.1.2.0,me/relex/circleindicator
me.zhanghai.android.materialprogressbar.library.1.1.4,me/zhanghai/android/materialprogressbar
me.zhanghai.android.materialprogressbar.library.1.1.5,me/zhanghai/android/materialprogressbar
metadata-extractor-2.9.1,com/drew
mongo-java-driver-2.12.5,com/mongodb
MPAndroidChart-v2.2.5,com/github/mikephil/charting
msgpack-0.6.12,org/msgpack
muzei-api-2.0,com/google/android/apps/muzei/api
net.steamcrafted.load-toast.1.0.9,net/steamcrafted/loadtoast
netcipher-1.2,info/guardianproject/netcipher
netcipher-1.2.1,info/guardianproject/netcipher
okhttp-2.2.0,com/squareup/okhttp
okhttp-2.3.0,com/squareup/okhttp
okhttp-2.5.0,com/squareup/okhttp
okhttp-2.6.0,com/squareup/okhttp
okhttp-2.7.5,com/squareup/okhttp
okhttp-3.1.2,com/squareup/okhttp
okhttp-3.2.0,com/squareup/okhttp
okhttp-urlconnection-2.3.0,com/squareup/okhttp-urlconnection
okhttp-urlconnection-2.7.5,com/squareup/okhttp-urlconnection
okhttp-urlconnection-3.2.0,com/squareup/okhttp-urlconnection
okio-1.2.0,okio
okio-1.3.0,okio
okio-1.6.0,okio
OpenLibraryAPI-1.0,tk/elevenk/olapi
opentasks-provider-1.1.8.1,org/dmfs
org.cyanogenmod.platform.sdk,org/cyanogenmod/internal/statusbar
org.ligi.AXT.0.33,org/ligi/axt
org.ligi.AXT.0.35,org/ligi/axt
org.osmdroid.osmdroid-android.5.0.1,org/osmdroid
org.osmdroid.osmdroid-android.5.1,org/osmdroid
org.piwik.sdk.piwik-sdk.0.0.2,org/piwik/sdk
org.piwik.sdk.piwik-sdk.0.0.3,org/piwik/sdk
org.sufficientlysecure.openpgp-api.9.0,org/openintents/openpgp
osmdroid-android-4.2,org/osmdroid
osmdroid-android-4.3,org/osmdroid
otto-1.3.5,com/squareup/otto
picasso-2.4.0,com/squareup/picasso
picasso-2.5.2,com/squareup/picasso
piwik,org/piwik/sdk
pl.droidsonroids.gif.android-gif-drawable.1.1.14,pl/droidsonroids/gif
prov-1.54.0.0,org/spongycastle/prov
pub.devrel.easypermissions.0.1.5,pub/devrel/easypermissions
retrofit-1.9.0,retrofit
retrofit-2.0.0-beta2,retrofit
rfc5545-datetime-0.2.4,org/dmfs/rfc5545/rfc5545-datetime
rhino-1.7.7,org/mozilla
robospice-1.4.14,com/octo/android/robospice
robospice-cache-1.4.14,com/octo/android/robospice/persistence
robospice-retrofit-1.4.14,com/octo/android/robospice
RootTools-3.5,com/stericson
rxandroid-0.23.0,rx/android
rxjava-1.0.7,rx
signpost-commonshttp4-1.2.1.2,oauth/signpost/commonshttp
signpost-core-1.2.1.2,oauth/signpost
simple-xml-2.7.1,org/simpleframework/xml
slf4j-android-1.6.1-RC1,org/slf4j
slf4j-android-1.7.7,org/slf4j/impl
slf4j-api-1.6.1,org/slf4j
slf4j-api-1.7.6,org/slf4j
slf4j-api-1.7.7,org/slf4j
slf4j-simple-1.6.1,org/slf4j/impl
smack-3.2.1,org/jivesoftware/smack
spring-android-core-1.0.1.RELEASE,org/springframework/core
spring-android-rest-template-1.0.1.RELEASE,org/springframework/rest-template
sqliteassethelper-2.0.1,com/readystatesoftware/sqliteasset
stax-1.2.0,com/bea/xml/stream
stetho-1.3.1,com/facebook/stetho
stetho-okhttp3-1.3.1,com/facebook/stetho/okhttp3
SunriseSunsetCalculator-1.2,com/luckycatlabs/sunrisesunset
support-annotations-20.0.0,android/support/annotation
support-annotations-21.0.0,android/support/annotation
support-annotations-21.0.2,android/support/annotation
support-annotations-21.0.3,android/support/annotation
support-annotations-22.0.0,android/support/annotation
support-annotations-22.1.1,android/support/annotation
support-annotations-22.2.0,android/support/annotation
support-annotations-22.2.1,android/support/annotation
support-annotations-23.0.0,android/support/annotation
support-annotations-23.0.1,android/support/annotation
support-annotations-23.1.0,android/support/annotation
support-annotations-23.1.1,android/support/annotation
support-annotations-23.2.0,android/support/annotation
support-annotations-23.2.1,android/support/annotation
support-annotations-23.3.0,android/support/annotation
support-annotations-23.4.0,android/support/annotation
support-annotations-24.0.0,android/support/annotation
support-annotations-24.0.0-beta1,android/support/annotation
support-v4-18.0.0,android/support/v4
support-v4-19.1.0,android/support/v4
svg-android-2.0.0,com/larvalabs/svgandroid
timber-2.5.0,timber/log
TPL,NAME
tracedroid-1.4,org/ligi/tracedroid
TTS_library_stub,com/google/tts
uk.co.chrisjenx.calligraphy.2.1.0,uk/co/chrisjenx/calligraphy
unbescape-1.1.1.RELEASE,org/unbescape
universal-image-loader-1.9.3,com/nostra13/universalimageloader
universal-image-loader-1.9.5,com/nostra13/universalimageloader
us.feras.mdv.markdownview.1.1.0,us/feras/mdv
videocache-2.3.3,com/danikula/videocache
xmlobjects-0.4.2,org/dmfs/xmlobjects
xmpcore-5.1.2,com/adobe/xmp
XposedBridgeApi-54,de/robv/android/xposed
xz-1.5,org/tukaani/xz
